BidID,Timestamp,Region,City,Adexchange,Biddingprice,Payingprice
593be0d2564daba8a8ce984674f9405d,2013-06-07 00:14:55,3,ZYlyOx10DccIJH,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),,216
4be53ba7ce96f3fbc2228f93621f2ebe,2013-06-07 00:31:01,3,Vh1zO7NCOTSdamb,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,80
8811fb2c13427c8356f83a061481da91,2013-06-07 00:54:20,3,VhdD1pky3UzWQbb,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.4),,393
8f678b5afe0715b832727a4fc283b178,2013-06-07 00:55:10,3,Vhk7P3b7LlKO3dj,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),,27
5fd499cdc2c657678a1e2d97aa0f47b9,2013-06-07 00:55:23,3,Vh1OZ6MtDIa9G-f,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),,308
64965bbf71459e19b8ab4e9c986f4fdb,2013-06-07 00:55:31,3,Vh2rP3soOluHaob,"Mozilla/5.0 (iPad; CPU OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9B206 Safari/7534.48.3",,0
74d0eaf397ae2170192abb72b20574f5,2013-06-07 00:56:36,3,VhkrLRf9P4E8gBn,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,183
b2f220c51b1925c24bcbd8001fea0f94,2013-06-07 01:05:54,3,Vh1dLrCIOol4woa,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,216
ca3a4b7348caad8b6a97086a4d6dbbd,2013-06-07 01:07:07,3,VhpTO3fSPc2fDfE,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; QQDownload 718),,2
910780d82778da80e05e6e7b47d75a05,2013-06-07 01:09:16,3,VhTdOvKnOQCIG-f,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0),,106
9600caffaaaf95c8d46ab3d9d2a6e2d0,2013-06-07 05:41:16,3,VhkRV5k9Ot29kCk,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727),,216
5321492ade56c6358f163ba624e59456,2013-06-07 05:41:23,3,VhkELxs0OTShega,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,146
273bc2f106d6698ce973ba635ac9b6a2,2013-06-07 05:41:27,3,Vh1dO3SSDIudkgL,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; LBBROWSER),,216
5321492ade56c6358f163ba624e59456,2013-06-07 05:41:23,3,VhkELxs0OTShega,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,146
5321492ade56c6358f163ba624e59456,2013-06-07 05:41:23,3,VhkELxs0OTShega,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,146
1153a35c3dc3fd468fc9b0a792262098,2013-06-07 09:46:50,3,VhkrPkpJDeFPJYb,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,2
cb0a9449f5e70375641c97bd1c2981d4,2013-06-07 10:36:30,3,VhpZOed8Dyp-DWL,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; KB974488),,275
